time,lat,lon
4130.2,42.3453,164.2996
4130.9,42.3804,164.3109
4131.5,42.4155,164.3221
4132.1,42.4505,164.3333
4132.7,42.4856,164.3446
4133.3,42.5207,164.3558
4133.9,42.5557,164.3671
4134.5,42.5908,164.3784
4135.1,42.6259,164.3897
4135.8,42.6609,164.4011
4136.4,42.696,164.4124
4137.0,42.731,164.4238
4137.6,42.7661,164.4352
4138.2,42.8011,164.4466
4138.8,42.8362,164.458
4139.4,42.8712,164.4694
4140.0,42.9063,164.4808
4140.7,42.9413,164.4923
4141.3,42.9764,164.5038
4141.9,43.0114,164.5153
4142.5,43.0464,164.5267
4143.1,43.0815,164.5383
4143.7,43.1165,164.5498
4144.3,43.1516,164.5614
4144.9,43.1866,164.5729
4145.6,43.2216,164.5845
4146.2,43.2566,164.5961
4146.8,43.2917,164.6077
4147.4,43.3267,164.6194
4148.0,43.3617,164.631
4148.6,43.3967,164.6427
4149.2,43.4318,164.6543
4149.8,43.4668,164.666
4150.5,43.5018,164.6777
4151.1,43.5368,164.6895
4151.7,43.5718,164.7012
4152.3,43.6068,164.713
4152.9,43.6418,164.7248
4153.5,43.6768,164.7365
4154.1,43.7118,164.7484
4154.8,43.7468,164.7602
4155.4,43.7818,164.772
4156.0,43.8168,164.7839
4156.6,43.8518,164.7958
4157.2,43.8868,164.8076
4157.8,43.9218,164.8196
4158.4,43.9568,164.8315
4159.0,43.9918,164.8434
4159.7,44.0268,164.8554
4160.3,44.0618,164.8674
4160.9,44.0967,164.8793
4161.5,44.1317,164.8914
4162.1,44.1667,164.9034
4162.7,44.2017,164.9154
4163.3,44.2367,164.9275
4163.9,44.2716,164.9396
4164.6,44.3066,164.9517
4165.2,44.3416,164.9638
4165.8,44.3765,164.9759
4166.4,44.4115,164.9881
4167.0,44.4465,165.0002
4167.6,44.4814,165.0124
4168.2,44.5164,165.0246
4168.8,44.5513,165.0368
4169.5,44.5863,165.049
4170.1,44.6212,165.0613
4170.7,44.6562,165.0736
4171.3,44.6911,165.0859
4171.9,44.7261,165.0982
4172.5,44.761,165.1105
4173.1,44.796,165.1228
4173.8,44.8309,165.1352
4174.4,44.8659,165.1476
4175.0,44.9008,165.1599
4175.6,44.9357,165.1723
4176.2,44.9707,165.1848
4176.8,45.0056,165.1972
4177.4,45.0405,165.2097
4178.0,45.0754,165.2222
4178.7,45.1104,165.2347
4179.3,45.1453,165.2472
4179.9,45.1802,165.2597
4180.5,45.2151,165.2723
4181.1,45.25,165.2849
4181.7,45.285,165.2974
4182.3,45.3199,165.3101
4182.9,45.3548,165.3227
4183.6,45.3897,165.3353
4184.2,45.4246,165.348
4184.8,45.4595,165.3607
4185.4,45.4944,165.3734
4186.0,45.5293,165.3861
4186.6,45.5642,165.3988
4187.2,45.5991,165.4116
4187.8,45.634,165.4244
4188.5,45.6689,165.4372
4189.1,45.7038,165.45
4189.7,45.7386,165.4628
4190.3,45.7735,165.4757
4190.9,45.8084,165.4885
4191.5,45.8433,165.5014
4192.1,45.8782,165.5143
4192.8,45.913,165.5273
4193.4,45.9479,165.5402
4194.0,45.9828,165.5532
4194.6,46.0177,165.5662
4195.2,46.0525,165.5792
4195.8,46.0874,165.5922
4196.4,46.1222,165.6052
4197.0,46.1571,165.6183
4197.7,46.192,165.6314
4198.3,46.2268,165.6445
4198.9,46.2617,165.6576
4199.5,46.2965,165.6707
4200.1,46.3314,165.6839
4200.7,46.3662,165.6971
4201.3,46.4011,165.7103
4201.9,46.4359,165.7235
4202.6,46.4707,165.7367
4203.2,46.5056,165.75
4203.8,46.5404,165.7633
4204.4,46.5752,165.7766
4205.0,46.6101,165.7899
4205.6,46.6449,165.8032
4206.2,46.6797,165.8166
